,Region name,variable,value
0,England,1999,3.8
1,North East,1999,2.5
2,North West,1999,4.1
3,Greater Manchester,1999,4.4
4,Yorkshire and The Humber,1999,3.4
5,Leeds,1999,6.4
6,East Midlands,1999,3.0
7,West Midlands,1999,3.5
8,West Midlands,1999,3.8
9,Birmingham,1999,2.6
10,East,1999,3.9
11,London,1999,4.1
12,South East,1999,4.4
13,South West,1999,3.8
14,"Bristol, City of",1999,2.0
15,Dorset and Somerset,1999,4.4
16,Cornwall and Isles of Scilly,1999,2.1
17,Cornwall and Isles of Scilly,1999,2.4
18,Devon,1999,3.7
19,England,2000,4.5
20,North East,2000,2.7
21,North West,2000,2.2
22,Greater Manchester,2000,2.1
23,Yorkshire and The Humber,2000,3.1
24,Leeds,2000,3.7
25,East Midlands,2000,2.9
26,West Midlands,2000,2.5
27,West Midlands,2000,2.1
28,Birmingham,2000,2.6
29,East,2000,5.3
30,London,2000,7.8
31,South East,2000,4.7
32,South West,2000,3.3
33,"Bristol, City of",2000,3.7
34,Dorset and Somerset,2000,3.0
35,Cornwall and Isles of Scilly,2000,3.7
36,Cornwall and Isles of Scilly,2000,3.8
37,Devon,2000,1.1
38,England,2001,1.9
39,North East,2001,4.1
40,North West,2001,3.2
41,Greater Manchester,2001,2.6
42,Yorkshire and The Humber,2001,3.0
43,Leeds,2001,2.6
44,East Midlands,2001,2.2
45,West Midlands,2001,2.2
46,West Midlands,2001,3.9
47,Birmingham,2001,3.2
48,East,2001,2.5
49,London,2001,0.4
50,South East,2001,1.0
51,South West,2001,2.8
52,"Bristol, City of",2001,4.8
53,Dorset and Somerset,2001,-0.8
54,Cornwall and Isles of Scilly,2001,2.5
55,Cornwall and Isles of Scilly,2001,2.5
56,Devon,2001,2.2
57,England,2002,1.7
58,North East,2002,4.0
59,North West,2002,2.3
60,Greater Manchester,2002,2.1
61,Yorkshire and The Humber,2002,3.0
62,Leeds,2002,2.6
63,East Midlands,2002,1.1
64,West Midlands,2002,0.6
65,West Midlands,2002,-0.4
66,Birmingham,2002,1.1
67,East,2002,1.2
68,London,2002,1.2
69,South East,2002,1.8
70,South West,2002,1.4
71,"Bristol, City of",2002,0.6
72,Dorset and Somerset,2002,0.3
73,Cornwall and Isles of Scilly,2002,4.4
74,Cornwall and Isles of Scilly,2002,4.2
75,Devon,2002,1.8
76,England,2003,3.2
77,North East,2003,3.6
78,North West,2003,3.3
79,Greater Manchester,2003,2.4
80,Yorkshire and The Humber,2003,4.2
81,Leeds,2003,6.1
82,East Midlands,2003,3.1
83,West Midlands,2003,2.5
84,West Midlands,2003,2.2
85,Birmingham,2003,2.9
86,East,2003,3.9
87,London,2003,3.9
88,South East,2003,2.1
89,South West,2003,2.2
90,"Bristol, City of",2003,1.4
91,Dorset and Somerset,2003,1.5
92,Cornwall and Isles of Scilly,2003,4.3
93,Cornwall and Isles of Scilly,2003,4.2
94,Devon,2003,2.3
95,England,2004,2.4
96,North East,2004,5.1
97,North West,2004,3.2
98,Greater Manchester,2004,2.9
99,Yorkshire and The Humber,2004,2.8
100,Leeds,2004,3.5
101,East Midlands,2004,2.5
102,West Midlands,2004,1.9
103,West Midlands,2004,1.4
104,Birmingham,2004,3.1
105,East,2004,1.3
106,London,2004,3.0
107,South East,2004,1.1
108,South West,2004,2.4
109,"Bristol, City of",2004,2.9
110,Dorset and Somerset,2004,1.8
111,Cornwall and Isles of Scilly,2004,0.8
112,Cornwall and Isles of Scilly,2004,0.8
113,Devon,2004,5.4
114,England,2005,3.0
115,North East,2005,1.1
116,North West,2005,2.3
117,Greater Manchester,2005,3.3
118,Yorkshire and The Humber,2005,1.5
119,Leeds,2005,4.2
120,East Midlands,2005,2.1
121,West Midlands,2005,1.1
122,West Midlands,2005,1.0
123,Birmingham,2005,2.1
124,East,2005,3.6
125,London,2005,5.3
126,South East,2005,2.9
127,South West,2005,1.8
128,"Bristol, City of",2005,-0.3
129,Dorset and Somerset,2005,2.5
130,Cornwall and Isles of Scilly,2005,3.9
131,Cornwall and Isles of Scilly,2005,3.9
132,Devon,2005,1.0
133,England,2006,2.6
134,North East,2006,2.6
135,North West,2006,3.0
136,Greater Manchester,2006,2.6
137,Yorkshire and The Humber,2006,2.0
138,Leeds,2006,1.4
139,East Midlands,2006,3.5
140,West Midlands,2006,1.7
141,West Midlands,2006,0.4
