,date,Region,val
0,2004-12,United Kingdom,23.9
4,2004-12,Great Britain,23.7
8,2004-12,England,23.5
12,2004-12,Wales,27.3
16,2004-12,Scotland,23.3
20,2004-12,Northern Ireland,30.3
24,2004-12,England and Wales,23.7
28,2005-03,United Kingdom,23.8
32,2005-03,Great Britain,23.6
36,2005-03,England,23.5
40,2005-03,Wales,27.1
44,2005-03,Scotland,23.2
48,2005-03,Northern Ireland,30.8
52,2005-03,England and Wales,23.7
56,2005-06,United Kingdom,23.8
60,2005-06,Great Britain,23.6
64,2005-06,England,23.4
68,2005-06,Wales,27.2
72,2005-06,Scotland,23.3
76,2005-06,Northern Ireland,30.7
80,2005-06,England and Wales,23.6
84,2005-09,United Kingdom,23.7
88,2005-09,Great Britain,23.5
92,2005-09,England,23.4
96,2005-09,Wales,27.0
100,2005-09,Scotland,23.0
104,2005-09,Northern Ireland,29.8
108,2005-09,England and Wales,23.6
112,2005-12,United Kingdom,23.7
116,2005-12,Great Britain,23.5
120,2005-12,England,23.4
124,2005-12,Wales,27.0
128,2005-12,Scotland,22.9
132,2005-12,Northern Ireland,29.8
136,2005-12,England and Wales,23.6
140,2006-03,United Kingdom,23.7
144,2006-03,Great Britain,23.5
148,2006-03,England,23.4
152,2006-03,Wales,27.2
156,2006-03,Scotland,22.9
160,2006-03,Northern Ireland,29.4
164,2006-03,England and Wales,23.6
168,2006-06,United Kingdom,23.6
172,2006-06,Great Britain,23.4
176,2006-06,England,23.3
180,2006-06,Wales,26.9
184,2006-06,Scotland,22.7
188,2006-06,Northern Ireland,28.6
192,2006-06,England and Wales,23.5
196,2006-09,United Kingdom,23.6
200,2006-09,Great Britain,23.4
204,2006-09,England,23.3
208,2006-09,Wales,26.9
212,2006-09,Scotland,22.8
216,2006-09,Northern Ireland,29.6
220,2006-09,England and Wales,23.5
224,2006-12,United Kingdom,23.4
228,2006-12,Great Britain,23.3
232,2006-12,England,23.2
236,2006-12,Wales,26.9
240,2006-12,Scotland,22.2
244,2006-12,Northern Ireland,29.6
248,2006-12,England and Wales,23.4
252,2007-03,United Kingdom,23.4
256,2007-03,Great Britain,23.3
260,2007-03,England,23.2
264,2007-03,Wales,26.9
268,2007-03,Scotland,22.1
272,2007-03,Northern Ireland,29.1
276,2007-03,England and Wales,23.4
280,2007-06,United Kingdom,23.4
284,2007-06,Great Britain,23.3
288,2007-06,England,23.2
292,2007-06,Wales,26.8
296,2007-06,Scotland,22.1
300,2007-06,Northern Ireland,29.1
304,2007-06,England and Wales,23.4
308,2007-09,United Kingdom,23.5
312,2007-09,Great Britain,23.4
316,2007-09,England,23.3
320,2007-09,Wales,27.0
324,2007-09,Scotland,22.0
328,2007-09,Northern Ireland,28.8
332,2007-09,England and Wales,23.5
336,2007-12,United Kingdom,23.6
340,2007-12,Great Britain,23.4
344,2007-12,England,23.4
348,2007-12,Wales,26.7
352,2007-12,Scotland,22.4
356,2007-12,Northern Ireland,28.5
360,2007-12,England and Wales,23.5
364,2008-03,United Kingdom,23.5
368,2008-03,Great Britain,23.3
372,2008-03,England,23.2
376,2008-03,Wales,26.6
380,2008-03,Scotland,22.4
384,2008-03,Northern Ireland,28.3
388,2008-03,England and Wales,23.4
392,2008-06,United Kingdom,23.5
396,2008-06,Great Britain,23.3
400,2008-06,England,23.2
404,2008-06,Wales,26.5
408,2008-06,Scotland,22.3
412,2008-06,Northern Ireland,28.7
416,2008-06,England and Wales,23.4
420,2008-09,United Kingdom,23.4
424,2008-09,Great Britain,23.3
428,2008-09,England,23.2
432,2008-09,Wales,26.5
436,2008-09,Scotland,22.2
440,2008-09,Northern Ireland,29.0
444,2008-09,England and Wales,23.4
448,2008-12,United Kingdom,23.5
452,2008-12,Great Britain,23.3
456,2008-12,England,23.2
460,2008-12,Wales,26.6
464,2008-12,Scotland,22.6
468,2008-12,Northern Ireland,29.2
472,2008-12,England and Wales,23.4
476,2009-03,United Kingdom,23.4
480,2009-03,Great Britain,23.2
484,2009-03,England,23.1
488,2009-03,Wales,26.5
492,2009-03,Scotland,22.5
496,2009-03,Northern Ireland,30.0
500,2009-03,England and Wales,23.3
504,2009-06,United Kingdom,23.4
508,2009-06,Great Britain,23.2
512,2009-06,England,23.1
516,2009-06,Wales,26.8
520,2009-06,Scotland,22.6
524,2009-06,Northern Ireland,30.6
528,2009-06,England and Wales,23.3
532,2009-09,United Kingdom,23.4
536,2009-09,Great Britain,23.2
540,2009-09,England,23.1
544,2009-09,Wales,26.8
548,2009-09,Scotland,22.5
552,2009-09,Northern Ireland,30.1
556,2009-09,England and Wales,23.3
560,2009-12,United Kingdom,23.5
564,2009-12,Great Britain,23.3
568,2009-12,England,23.2
572,2009-12,Wales,27.1
576,2009-12,Scotland,22.6
580,2009-12,Northern Ireland,30.1
584,2009-12,England and Wales,23.4
588,2010-03,United Kingdom,23.8
592,2010-03,Great Britain,23.6
596,2010-03,England,23.4
600,2010-03,Wales,27.2
604,2010-03,Scotland,23.0
608,2010-03,Northern Ireland,29.9
612,2010-03,England and Wales,23.6
616,2010-06,United Kingdom,23.9
620,2010-06,Great Britain,23.7
624,2010-06,England,23.5
628,2010-06,Wales,27.1
632,2010-06,Scotland,23.1
636,2010-06,Northern Ireland,29.6
640,2010-06,England and Wales,23.7
644,2010-09,United Kingdom,23.9
648,2010-09,Great Britain,23.7
652,2010-09,England,23.6
