,date,Region,val
0,2004-12,United Kingdom,23.9
8,2004-12,England,23.5
12,2004-12,Wales,27.3
16,2004-12,Scotland,23.3
20,2004-12,Northern Ireland,30.3
28,2005-03,United Kingdom,23.8
36,2005-03,England,23.5
40,2005-03,Wales,27.1
44,2005-03,Scotland,23.2
48,2005-03,Northern Ireland,30.8
56,2005-06,United Kingdom,23.8
64,2005-06,England,23.4
68,2005-06,Wales,27.2
72,2005-06,Scotland,23.3
76,2005-06,Northern Ireland,30.7
84,2005-09,United Kingdom,23.7
92,2005-09,England,23.4
96,2005-09,Wales,27.0
100,2005-09,Scotland,23.0
104,2005-09,Northern Ireland,29.8
112,2005-12,United Kingdom,23.7
120,2005-12,England,23.4
124,2005-12,Wales,27.0
128,2005-12,Scotland,22.9
132,2005-12,Northern Ireland,29.8
140,2006-03,United Kingdom,23.7
148,2006-03,England,23.4
152,2006-03,Wales,27.2
156,2006-03,Scotland,22.9
160,2006-03,Northern Ireland,29.4
168,2006-06,United Kingdom,23.6
176,2006-06,England,23.3
180,2006-06,Wales,26.9
184,2006-06,Scotland,22.7
188,2006-06,Northern Ireland,28.6
196,2006-09,United Kingdom,23.6
204,2006-09,England,23.3
208,2006-09,Wales,26.9
212,2006-09,Scotland,22.8
216,2006-09,Northern Ireland,29.6
224,2006-12,United Kingdom,23.4
232,2006-12,England,23.2
236,2006-12,Wales,26.9
240,2006-12,Scotland,22.2
244,2006-12,Northern Ireland,29.6
252,2007-03,United Kingdom,23.4
260,2007-03,England,23.2
264,2007-03,Wales,26.9
268,2007-03,Scotland,22.1
272,2007-03,Northern Ireland,29.1
280,2007-06,United Kingdom,23.4
288,2007-06,England,23.2
292,2007-06,Wales,26.8
296,2007-06,Scotland,22.1
300,2007-06,Northern Ireland,29.1
308,2007-09,United Kingdom,23.5
316,2007-09,England,23.3
320,2007-09,Wales,27.0
324,2007-09,Scotland,22.0
328,2007-09,Northern Ireland,28.8
336,2007-12,United Kingdom,23.6
344,2007-12,England,23.4
348,2007-12,Wales,26.7
352,2007-12,Scotland,22.4
356,2007-12,Northern Ireland,28.5
364,2008-03,United Kingdom,23.5
372,2008-03,England,23.2
376,2008-03,Wales,26.6
380,2008-03,Scotland,22.4
384,2008-03,Northern Ireland,28.3
392,2008-06,United Kingdom,23.5
400,2008-06,England,23.2
404,2008-06,Wales,26.5
408,2008-06,Scotland,22.3
412,2008-06,Northern Ireland,28.7
420,2008-09,United Kingdom,23.4
428,2008-09,England,23.2
432,2008-09,Wales,26.5
436,2008-09,Scotland,22.2
440,2008-09,Northern Ireland,29.0
448,2008-12,United Kingdom,23.5
456,2008-12,England,23.2
460,2008-12,Wales,26.6
464,2008-12,Scotland,22.6
468,2008-12,Northern Ireland,29.2
476,2009-03,United Kingdom,23.4
484,2009-03,England,23.1
488,2009-03,Wales,26.5
492,2009-03,Scotland,22.5
496,2009-03,Northern Ireland,30.0
504,2009-06,United Kingdom,23.4
512,2009-06,England,23.1
516,2009-06,Wales,26.8
520,2009-06,Scotland,22.6
524,2009-06,Northern Ireland,30.6
532,2009-09,United Kingdom,23.4
540,2009-09,England,23.1
544,2009-09,Wales,26.8
548,2009-09,Scotland,22.5
552,2009-09,Northern Ireland,30.1
560,2009-12,United Kingdom,23.5
568,2009-12,England,23.2
572,2009-12,Wales,27.1
576,2009-12,Scotland,22.6
580,2009-12,Northern Ireland,30.1
588,2010-03,United Kingdom,23.8
596,2010-03,England,23.4
600,2010-03,Wales,27.2
604,2010-03,Scotland,23.0
608,2010-03,Northern Ireland,29.9
616,2010-06,United Kingdom,23.9
624,2010-06,England,23.5
628,2010-06,Wales,27.1
632,2010-06,Scotland,23.1
636,2010-06,Northern Ireland,29.6
644,2010-09,United Kingdom,23.9
652,2010-09,England,23.6
656,2010-09,Wales,27.1
660,2010-09,Scotland,23.1
664,2010-09,Northern Ireland,29.7
672,2010-12,United Kingdom,24.0
680,2010-12,England,23.7
684,2010-12,Wales,27.3
688,2010-12,Scotland,23.0
692,2010-12,Northern Ireland,29.1
