,Region name,variable,value
0,United Kingdom,1999,3.0
1,England,1999,3.8
2,Wales,1999,2.6
3,Scotland,1999,2.0
4,Northern Ireland,1999,4.3
5,United Kingdom,2000,4.1
6,England,2000,4.5
7,Wales,2000,3.8
8,Scotland,2000,3.2
9,Northern Ireland,2000,6.1
10,United Kingdom,2001,2.2
11,England,2001,1.9
12,Wales,2001,2.0
13,Scotland,2001,2.9
14,Northern Ireland,2001,1.9
15,United Kingdom,2002,1.8
16,England,2002,1.7
17,Wales,2002,1.5
18,Scotland,2002,1.4
19,Northern Ireland,2002,0.7
20,United Kingdom,2003,3.1
21,England,2003,3.2
22,Wales,2003,3.6
23,Scotland,2003,2.9
24,Northern Ireland,2003,4.3
25,United Kingdom,2004,2.3
26,England,2004,2.4
27,Wales,2004,2.7
28,Scotland,2004,3.0
29,Northern Ireland,2004,2.0
30,United Kingdom,2005,2.7
31,England,2005,3.0
32,Wales,2005,1.3
33,Scotland,2005,3.7
34,Northern Ireland,2005,3.6
35,United Kingdom,2006,2.2
36,England,2006,2.6
37,Wales,2006,3.2
38,Scotland,2006,3.0
39,Northern Ireland,2006,2.7
40,United Kingdom,2007,2.6
41,England,2007,3.0
42,Wales,2007,0.9
43,Scotland,2007,2.3
44,Northern Ireland,2007,0.1
45,United Kingdom,2008,-0.2
46,England,2008,-0.3
47,Wales,2008,-3.0
48,Scotland,2008,1.1
49,Northern Ireland,2008,-2.8
50,United Kingdom,2009,-4.5
51,England,2009,-5.2
52,Wales,2009,-3.9
53,Scotland,2009,-4.2
54,Northern Ireland,2009,-5.0
55,United Kingdom,2010,2.4
56,England,2010,4.2
57,Wales,2010,3.4
58,Scotland,2010,2.2
59,Northern Ireland,2010,0.8
60,United Kingdom,2011,1.1
61,England,2011,2.5
62,Wales,2011,3.6
63,Scotland,2011,2.3
64,Northern Ireland,2011,2.9
65,United Kingdom,2012,1.4
66,England,2012,2.0
67,Wales,2012,1.3
68,Scotland,2012,1.3
69,Northern Ireland,2012,1.8
70,United Kingdom,2013,1.8
71,England,2013,2.1
72,Wales,2013,1.8
73,Scotland,2013,2.5
74,Northern Ireland,2013,0.8
75,United Kingdom,2014,3.2
76,England,2014,3.5
77,Wales,2014,1.7
78,Scotland,2014,3.1
79,Northern Ireland,2014,2.1
80,United Kingdom,2015,2.4
81,England,2015,2.2
82,Wales,2015,2.5
83,Scotland,2015,1.1
84,Northern Ireland,2015,1.3
85,United Kingdom,2016,2.2
86,England,2016,2.4
87,Wales,2016,2.7
88,Scotland,2016,0.3
89,Northern Ireland,2016,3.9
90,United Kingdom,2017,2.4
91,England,2017,2.5
92,Wales,2017,1.8
93,Scotland,2017,2.7
94,Northern Ireland,2017,1.8
95,United Kingdom,2018,1.7
96,England,2018,1.7
97,Wales,2018,2.6
98,Scotland,2018,0.4
99,Northern Ireland,2018,0.7
100,United Kingdom,2019,1.6
101,England,2019,1.6
102,Wales,2019,2.1
103,Scotland,2019,1.1
104,Northern Ireland,2019,2.6
105,United Kingdom,2020,-11.0
106,England,2020,-11.5
107,Wales,2020,-11.5
108,Scotland,2020,-11.8
109,Northern Ireland,2020,-11.2
110,United Kingdom,2021,7.5
111,England,2021,8.9
112,Wales,2021,9.1
113,Scotland,2021,7.5
114,Northern Ireland,2021,9.0
